1	7 
2	6 
3	14 
4	13 
5	6 
6	15 
7	1 
8	12 
9	3 
10	17 
11	17 
12	15 
13	16 
14	14 
15	16 
16	12 
17	7 
18	11 
19	3 
20	1 
21	4 
22	11 
23	4 
24	7 
25	13 
26	14 
27	5 
28	10 
29	2 
30	2 
31	7 
32	12 
33	9 
34	7 
35	10 
36	1 
37	11 
38	15 
39	14 
40	14 
41	5 
42	14 
43	9 
44	16 
45	6 
46	8 
47	12 
48	7 
49	4 
50	6 
51	14 
52	5 
53	1 
54	9 
55	11 
56	10 
57	1 
58	4 
59	11 
60	12 
61	14 
62	17 
63	4 
64	15 
65	4 
66	6 
67	17 
68	6 
69	7 
70	11 
71	2 
72	7 
73	3 
74	15 
75	7 
76	15 
77	11 
78	6 
79	12 
80	6 
81	2 
82	12 
83	7 
84	3 
85	12 
86	3 
87	4 
88	14 
89	11 
90	14 
91	14 
92	15 
93	10 
94	7 
95	5 
96	2 
97	9 
98	1 
99	15 
100	15 
101	1 
102	14 
103	5 
104	8 
105	12 
106	1 
107	5 
108	3 
109	9 
110	6 
111	9 
112	2 
113	13 
114	11 
115	3 
116	7 
117	7 
118	6 
119	15 
120	14 
121	12 
122	5 
123	5 
124	13 
125	5 
126	5 
127	7 
128	5 
129	13 
130	14 
131	1 
132	7 
133	13 
134	11 
135	13 
136	15 
137	14 
138	7 
139	14 
140	11 
141	7 
142	1 
143	12 
144	6 
145	6 
146	12 
147	15 
148	3 
149	15 
150	1 
151	5 
152	6 
153	16 
154	17 
155	16 
156	6 
157	9 
158	6 
159	11 
160	12 
161	11 
162	16 
163	7 
164	12 
165	14 
166	10 
167	7 
168	3 
169	12 
170	2 
171	12 
172	14 
173	9 
174	3 
175	9 
176	6 
177	14 
178	14 
179	12 
180	14 
181	9 
182	2 
183	8 
184	17 
185	14 
186	12 
187	5 
188	14 
189	14 
190	6 
191	12 
192	7 
193	4 
194	7 
195	13 
196	10 
197	4 
198	15 
199	1 
200	5 
201	4 
202	8 
203	15 
204	12 
205	1 
206	5 
207	14 
208	9 
209	5 
210	15 
211	15 
212	7 
213	3 
214	6 
215	9 
216	12 
217	14 
218	1 
219	6 
220	15 
221	4 
222	12 
223	6 
224	5 
225	14 
226	2 
227	12 
228	12 
229	6 
230	5 
231	1 
232	3 
233	15 
234	15 
235	1 
236	6 
237	1 
238	2 
239	17 
240	12 
241	8 
242	7 
243	5 
244	12 
245	6 
246	16 
247	14 
248	14 
249	6 
250	2 
251	14 
252	9 
253	1 
254	4 
255	12 
256	17 
257	2 
258	15 
259	14 
260	6 
261	1 
